,epoch,accuracy
0,1,0.7895833333333333
0,2,0.8785833333333334
0,3,0.9001666666666667
0,4,0.9111666666666667
0,5,0.9193333333333333
0,6,0.9251666666666667
0,7,0.9303333333333333
0,8,0.9346666666666666
